省份,城市,年,月,日,星期几,最高温度,最低温度,天气,风向,风力
云南,昆明,2014,2,7,星期五,20℃,6℃,晴,无持续风向,微风
云南,昆明,2014,2,8,星期六,21℃,6℃,晴,无持续风向,微风
云南,昆明,2014,2,9,星期日,18℃,5℃,晴,无持续风向,微风
云南,昆明,2014,2,10,星期一,19℃,5℃,晴,无持续风向,微风
云南,昆明,2014,2,11,星期二,18℃,3℃,多云,无持续风向,微风
云南,昆明,2014,2,12,星期三,17℃,5℃,多云,无持续风向,微风
云南,昆明,2014,2,13,星期四,17℃,4℃,多云,无持续风向,微风
云南,昆明,2014,2,14,星期五,17℃,5℃,多云,无持续风向,微风
云南,昆明,2014,2,15,星期六,20℃,7℃,晴,无持续风向,微风
云南,昆明,2014,2,16,星期日,20℃,9℃,晴,无持续风向,微风
云南,昆明,2014,2,17,星期一,19℃,5℃,多云,无持续风向,微风
云南,昆明,2014,2,18,星期二,10℃,2℃,小到中雨,无持续风向,微风
云南,昆明,2014,2,19,星期三,11℃,2℃,晴,无持续风向,微风
云南,昆明,2014,2,20,星期四,16℃,5℃,多云,无持续风向,微风
云南,昆明,2014,2,21,星期五,18℃,6℃,晴,无持续风向,微风
云南,昆明,2014,2,22,星期六,20℃,5℃,晴,无持续风向,微风
云南,昆明,2014,2,23,星期日,22℃,8℃,晴,无持续风向,微风
云南,昆明,2014,2,24,星期一,23℃,9℃,晴,无持续风向,微风
云南,昆明,2014,2,25,星期二,21℃,8℃,晴,无持续风向,微风
云南,昆明,2014,2,26,星期三,23℃,9℃,晴,无持续风向,微风
云南,昆明,2014,2,27,星期四,23℃,9℃,晴,无持续风向,微风
云南,昆明,2014,2,28,星期五,23℃,9℃,晴,无持续风向,微风
甘肃,兰州,2014,2,1,星期六,15℃,-5℃,晴,无持续风向,微风
甘肃,兰州,2014,2,2,星期日,13℃,-6℃,晴,无持续风向,微风
甘肃,兰州,2014,2,3,星期一,8℃,-4℃,晴,无持续风向,微风
甘肃,兰州,2014,2,4,星期二,5℃,-4℃,多云,无持续风向,微风
甘肃,兰州,2014,2,5,星期三,5℃,-6℃,多云,无持续风向,微风
甘肃,兰州,2014,2,6,星期四,1℃,-9℃,小雪,无持续风向,微风
甘肃,兰州,2014,2,7,星期五,4℃,-7℃,多云,无持续风向,微风
甘肃,兰州,2014,2,8,星期六,0℃,-8℃,小雪,无持续风向,微风
甘肃,兰州,2014,2,9,星期日,1℃,-9℃,小雪,无持续风向,微风
甘肃,兰州,2014,2,10,星期一,2℃,-8℃,多云,无持续风向,微风
甘肃,兰州,2014,2,11,星期二,3℃,-5℃,多云,无持续风向,微风
甘肃,兰州,2014,2,12,星期三,-1℃,-9℃,小雪,无持续风向,微风
甘肃,兰州,2014,2,13,星期四,3℃,-8℃,多云,无持续风向,微风
甘肃,兰州,2014,2,14,星期五,3℃,-6℃,多云,无持续风向,微风
甘肃,兰州,2014,2,15,星期六,1℃,-4℃,多云,无持续风向,微风
甘肃,兰州,2014,2,16,星期日,-1℃,-5℃,中雪,无持续风向,微风
甘肃,兰州,2014,2,17,星期一,-1℃,-7℃,小雪,无持续风向,微风
甘肃,兰州,2014,2,18,星期二,2℃,-9℃,多云,无持续风向,微风
甘肃,兰州,2014,2,19,星期三,2℃,-7℃,晴,无持续风向,微风
甘肃,兰州,2014,2,20,星期四,6℃,-7℃,晴,无持续风向,微风
甘肃,兰州,2014,2,21,星期五,10℃,-3℃,晴,无持续风向,微风
甘肃,兰州,2014,2,22,星期六,10℃,-2℃,多云,无持续风向,微风
甘肃,兰州,2014,2,23,星期日,12℃,0℃,晴,无持续风向,微风
甘肃,兰州,2014,2,24,星期一,14℃,0℃,多云,无持续风向,微风
甘肃,兰州,2014,2,25,星期二,15℃,3℃,多云,无持续风向,微风
甘肃,兰州,2014,2,26,星期三,6℃,-2℃,阴,无持续风向,微风
甘肃,兰州,2014,2,27,星期四,10℃,1℃,阴,无持续风向,微风
甘肃,兰州,2014,2,28,星期五,8℃,0℃,多云,无持续风向,微风
台湾,台北,2014,2,1,星期六,24℃,15℃,晴,无持续风向,微风
台湾,台北,2014,2,2,星期日,26℃,18℃,多云,无持续风向,微风
台湾,台北,2014,2,3,星期一,25℃,16℃,阴,无持续风向,微风
台湾,台北,2014,2,4,星期二,18℃,14℃,小雨,无持续风向,微风
台湾,台北,2014,2,5,星期三,20℃,16℃,小雨,无持续风向,微风
台湾,台北,2014,2,6,星期四,24℃,18℃,中雨,无持续风向,微风
台湾,台北,2014,2,7,星期五,23℃,15℃,小雨,无持续风向,微风
台湾,台北,2014,2,8,星期六,17℃,13℃,小雨,无持续风向,微风
台湾,台北,2014,2,9,星期日,16℃,10℃,大雨,无持续风向,微风
台湾,台北,2014,2,10,星期一,12℃,10℃,中雨,无持续风向,微风
台湾,台北,2014,2,11,星期二,12℃,7℃,小雨,无持续风向,微风
台湾,台北,2014,2,12,星期三,16℃,10℃,小雨,无持续风向,微风
台湾,台北,2014,2,13,星期四,16℃,13℃,小雨,无持续风向,微风
台湾,台北,2014,2,14,星期五,15℃,10℃,中雨,无持续风向,微风
台湾,台北,2014,2,15,星期六,17℃,11℃,小雨,无持续风向,微风
台湾,台北,2014,2,16,星期日,19℃,15℃,小雨,无持续风向,微风
台湾,台北,2014,2,17,星期一,23℃,16℃,小雨,无持续风向,微风
台湾,台北,2014,2,18,星期二,21℃,13℃,小雨,无持续风向,微风
台湾,台北,2014,2,19,星期三,16℃,10℃,小雨,无持续风向,微风
台湾,台北,2014,2,20,星期四,13℃,9℃,小雨,无持续风向,微风
台湾,台北,2014,2,21,星期五,16℃,12℃,阴,无持续风向,微风
台湾,台北,2014,2,22,星期六,19℃,13℃,小雨,无持续风向,微风
台湾,台北,2014,2,23,星期日,20℃,14℃,阴,无持续风向,微风
台湾,台北,2014,2,24,星期一,23℃,15℃,阴,无持续风向,微风
台湾,台北,2014,2,25,星期二,24℃,15℃,多云,无持续风向,微风
台湾,台北,2014,2,26,星期三,24℃,16℃,小雨,无持续风向,微风
台湾,台北,2014,2,27,星期四,22℃,16℃,小雨,无持续风向,微风
台湾,台北,2014,2,28,星期五,25℃,17℃,多云,无持续风向,微风
广西,南宁,2014,2,1,星期六,24℃,13℃,多云,南风,微风
广西,南宁,2014,2,2,星期日,24℃,14℃,多云,南风,微风
广西,南宁,2014,2,3,星期一,25℃,16℃,多云,南风,微风
广西,南宁,2014,2,4,星期二,25℃,17℃,多云,南风,微风
广西,南宁,2014,2,5,星期三,25℃,17℃,阴,东南风,微风
广西,南宁,2014,2,6,星期四,25℃,13℃,多云,东南风,微风
广西,南宁,2014,2,7,星期五,20℃,9℃,小雨,东北风,微风
广西,南宁,2014,2,8,星期六,10℃,7℃,小雨,东北风,微风
广西,南宁,2014,2,9,星期日,8℃,5℃,小雨,东北风,微风
广西,南宁,2014,2,10,星期一,9℃,5℃,阴,东北风,微风
广西,南宁,2014,2,11,星期二,8℃,6℃,阴,东北风,微风
广西,南宁,2014,2,12,星期三,7℃,4℃,阴,东北风,微风
广西,南宁,2014,2,13,星期四,8℃,5℃,阴,东北风,微风
广西,南宁,2014,2,14,星期五,12℃,6℃,阴,东北风,微风
广西,南宁,2014,2,15,星期六,14℃,9℃,阴,东南风,微风
广西,南宁,2014,2,16,星期日,12℃,9℃,小雨,东风,微风
广西,南宁,2014,2,17,星期一,12℃,7℃,小雨,东风,微风
广西,南宁,2014,2,18,星期二,9℃,5℃,小雨,东北风,微风
广西,南宁,2014,2,19,星期三,10℃,4℃,小雨,东北风,微风
广西,南宁,2014,2,20,星期四,18℃,4℃,晴,东南风,微风
广西,南宁,2014,2,21,星期五,17℃,11℃,多云,东南风,微风
广西,南宁,2014,2,22,星期六,14℃,10℃,小雨,北风,微风
广西,南宁,2014,2,23,星期日,13℃,11℃,小雨,东南风,微风
广西,南宁,2014,2,24,星期一,16℃,13℃,小雨,东南风,微风
广西,南宁,2014,2,25,星期二,21℃,14℃,小雨,东风,微风
广西,南宁,2014,2,26,星期三,19℃,16℃,阴,东风,微风
广西,南宁,2014,2,27,星期四,22℃,17℃,阴,东南风,微风
广西,南宁,2014,2,28,星期五,23℃,17℃,小雨,东南风,微风
宁夏,银川,2014,2,1,星期六,15℃,-4℃,晴,无持续风向,微风
宁夏,银川,2014,2,2,星期日,8℃,-7℃,晴,无持续风向,微风
宁夏,银川,2014,2,3,星期一,3℃,-10℃,晴,北风,3-4级
宁夏,银川,2014,2,4,星期二,-3℃,-10℃,小雪,南风,3-4级
宁夏,银川,2014,2,5,星期三,-3℃,-8℃,小雪,无持续风向,微风
宁夏,银川,2014,2,6,星期四,-4℃,-10℃,阴,无持续风向,微风
宁夏,银川,2014,2,7,星期五,-1℃,-12℃,阴,无持续风向,微风
宁夏,银川,2014,2,8,星期六,-5℃,-14℃,阴,无持续风向,微风
宁夏,银川,2014,2,9,星期日,-7℃,-16℃,阴,无持续风向,微风
宁夏,银川,2014,2,10,星期一,-5℃,-15℃,多云,无持续风向,微风
宁夏,银川,2014,2,11,星期二,-2℃,-12℃,多云,无持续风向,微风
宁夏,银川,2014,2,12,星期三,-3℃,-10℃,阴,无持续风向,微风
宁夏,银川,2014,2,13,星期四,3℃,-9℃,多云,无持续风向,微风
宁夏,银川,2014,2,14,星期五,4℃,-7℃,多云,无持续风向,微风
宁夏,银川,2014,2,15,星期六,5℃,-6℃,晴,无持续风向,微风
宁夏,银川,2014,2,16,星期日,2℃,-6℃,阴,无持续风向,微风
宁夏,银川,2014,2,17,星期一,3℃,-6℃,阴,无持续风向,微风
宁夏,银川,2014,2,18,星期二,3℃,-10℃,多云,无持续风向,微风
宁夏,银川,2014,2,19,星期三,4℃,-9℃,晴,无持续风向,微风
宁夏,银川,2014,2,20,星期四,6℃,-6℃,晴,无持续风向,微风
宁夏,银川,2014,2,21,星期五,9℃,-3℃,晴,无持续风向,微风
宁夏,银川,2014,2,22,星期六,11℃,-3℃,晴,无持续风向,微风
宁夏,银川,2014,2,23,星期日,12℃,-2℃,晴,无持续风向,微风
宁夏,银川,2014,2,24,星期一,10℃,-1℃,多云,无持续风向,微风
宁夏,银川,2014,2,25,星期二,12℃,0℃,多云,南风,3-4级
宁夏,银川,2014,2,26,星期三,6℃,-6℃,多云,无持续风向,微风
宁夏,银川,2014,2,27,星期四,6℃,-2℃,阴,无持续风向,微风
宁夏,银川,2014,2,28,星期五,7℃,-4℃,多云,无持续风向,微风
广东,广州,2014,2,1,星期六,25℃,14℃,多云,无持续风向,微风
广东,广州,2014,2,2,星期日,25℃,12℃,晴,无持续风向,微风
广东,广州,2014,2,3,星期一,26℃,13℃,晴,无持续风向,微风
广东,广州,2014,2,4,星期二,25℃,14℃,多云,无持续风向,微风
广东,广州,2014,2,5,星期三,22℃,15℃,阴,无持续风向,微风
广东,广州,2014,2,6,星期四,23℃,16℃,阴,无持续风向,微风
广东,广州,2014,2,7,星期五,23℃,10℃,多云,无持续风向,微风
广东,广州,2014,2,8,星期六,14℃,7℃,阴,北风,3-4级
广东,广州,2014,2,9,星期日,9℃,5℃,小雨,北风,3-4级
广东,广州,2014,2,10,星期一,9℃,5℃,阴,北风,3-4级
广东,广州,2014,2,11,星期二,10℃,4℃,阴,北风,3-4级
广东,广州,2014,2,12,星期三,8℃,4℃,阴,北风,3-4级
广东,广州,2014,2,13,星期四,7℃,4℃,小雨,北风,3-4级
广东,广州,2014,2,14,星期五,13℃,6℃,多云,无持续风向,微风
广东,广州,2014,2,15,星期六,12℃,8℃,阴,无持续风向,微风
广东,广州,2014,2,16,星期日,15℃,12℃,小雨,无持续风向,微风
广东,广州,2014,2,17,星期一,20℃,10℃,多云,无持续风向,微风
广东,广州,2014,2,18,星期二,15℃,5℃,小到中雨,北风,3-4级
广东,广州,2014,2,19,星期三,8℃,3℃,小雨,北风,3-4级
广东,广州,2014,2,20,星期四,15℃,3℃,晴,无持续风向,微风
广东,广州,2014,2,21,星期五,16℃,10℃,多云,无持续风向,微风
广东,广州,2014,2,22,星期六,16℃,10℃,小雨,无持续风向,微风
广东,广州,2014,2,23,星期日,18℃,13℃,阴,无持续风向,微风
广东,广州,2014,2,24,星期一,22℃,14℃,多云,无持续风向,微风
广东,广州,2014,2,25,星期二,24℃,16℃,多云,无持续风向,微风
广东,广州,2014,2,26,星期三,24℃,16℃,多云,无持续风向,微风
广东,广州,2014,2,27,星期四,26℃,16℃,多云,无持续风向,微风
广东,广州,2014,2,28,星期五,24℃,17℃,小雨,无持续风向,微风
江苏,南京,2014,2,1,星期六,22℃,10℃,多云,西南风,3-4级
江苏,南京,2014,2,2,星期日,18℃,4℃,阴,东风,3-4级
江苏,南京,2014,2,3,星期一,9℃,-1℃,小雨,东北风,4-5级
江苏,南京,2014,2,4,星期二,6℃,1℃,多云,东风,4-5级
江苏,南京,2014,2,5,星期三,3℃,2℃,雨夹雪,东风,4-5级
江苏,南京,2014,2,6,星期四,5℃,1℃,中雨,东北风,4-5级
江苏,南京,2014,2,7,星期五,2℃,-3℃,雨夹雪,北风,4-5级
江苏,南京,2014,2,8,星期六,4℃,-2℃,多云,北风,3-4级
江苏,南京,2014,2,9,星期日,2℃,-5℃,阴,东北风,4-5级
江苏,南京,2014,2,10,星期一,2℃,-4℃,多云,北风,3-4级
江苏,南京,2014,2,11,星期二,2℃,-4℃,多云,北风,3-4级
江苏,南京,2014,2,12,星期三,4℃,0℃,雨夹雪,东北风,3-4级
江苏,南京,2014,2,13,星期四,4℃,-1℃,雨夹雪,北风,4-5级
江苏,南京,2014,2,14,星期五,7℃,-1℃,多云,东北风,3-4级
江苏,南京,2014,2,15,星期六,9℃,3℃,多云,东风,3-4级
江苏,南京,2014,2,16,星期日,7℃,4℃,小雨,东风,3-4级
江苏,南京,2014,2,17,星期一,7℃,1℃,小雨,北风,3-4级
江苏,南京,2014,2,18,星期二,2℃,-3℃,大雪,北风,4-5级
江苏,南京,2014,2,19,星期三,5℃,-3℃,阴,西风,3-4级
江苏,南京,2014,2,20,星期四,9℃,-1℃,晴,东风,3-4级
江苏,南京,2014,2,21,星期五,11℃,4℃,晴,东风,3-4级
江苏,南京,2014,2,22,星期六,12℃,4℃,多云,东风,3-4级
江苏,南京,2014,2,23,星期日,14℃,6℃,多云,东风,4-5级
江苏,南京,2014,2,24,星期一,13℃,8℃,小雨,东风,3-4级
江苏,南京,2014,2,25,星期二,10℃,8℃,小雨,东风,3-4级
江苏,南京,2014,2,26,星期三,12℃,8℃,阴,东北风,3-4级
江苏,南京,2014,2,27,星期四,13℃,7℃,小雨,东风,3-4级
江苏,南京,2014,2,28,星期五,9℃,5℃,小到中雨,东北风,4-5级
浙江,杭州,2014,2,1,星期六,24℃,13℃,多云,无持续风向,微风
浙江,杭州,2014,2,2,星期日,21℃,7℃,多云,东南风,微风
浙江,杭州,2014,2,3,星期一,11℃,4℃,小雨,东北风,4-5级
浙江,杭州,2014,2,4,星期二,8℃,4℃,多云,东北风,微风
浙江,杭州,2014,2,5,星期三,9℃,6℃,小雨,东风,微风
浙江,杭州,2014,2,6,星期四,9℃,4℃,小雨,北风,微风
浙江,杭州,2014,2,7,星期五,8℃,2℃,中雨,东北风,3-4级
浙江,杭州,2014,2,8,星期六,6℃,1℃,阴,北风,微风
浙江,杭州,2014,2,9,星期日,2℃,-2℃,小雪,北风,4-5级
浙江,杭州,2014,2,10,星期一,3℃,-3℃,多云,北风,3-4级
浙江,杭州,2014,2,11,星期二,4℃,-1℃,多云,无持续风向,微风
浙江,杭州,2014,2,12,星期三,4℃,0℃,雨夹雪,北风,微风
浙江,杭州,2014,2,13,星期四,4℃,1℃,雨夹雪,北风,微风
浙江,杭州,2014,2,14,星期五,7℃,0℃,多云,北风,微风
浙江,杭州,2014,2,15,星期六,10℃,5℃,多云,东风,微风
浙江,杭州,2014,2,16,星期日,9℃,6℃,小雨,东南风,微风
浙江,杭州,2014,2,17,星期一,8℃,1℃,小雨,北风,微风
浙江,杭州,2014,2,18,星期二,2℃,-1℃,中雪,北风,4-5级
浙江,杭州,2014,2,19,星期三,4℃,-3℃,阴,西北风,3-4级
浙江,杭州,2014,2,20,星期四,8℃,-1℃,晴,东北风,微风
浙江,杭州,2014,2,21,星期五,10℃,2℃,多云,无持续风向,微风
浙江,杭州,2014,2,22,星期六,13℃,4℃,多云,东风,微风
浙江,杭州,2014,2,23,星期日,14℃,5℃,多云,东北风,微风
浙江,杭州,2014,2,24,星期一,10℃,8℃,小雨,东风,微风
浙江,杭州,2014,2,25,星期二,11℃,9℃,小雨,东北风,微风
浙江,杭州,2014,2,26,星期三,14℃,7℃,阴,东北风,微风
浙江,杭州,2014,2,27,星期四,14℃,9℃,阴,东北风,微风
浙江,杭州,2014,2,28,星期五,9℃,7℃,小雨,东北风,微风
湖南,长沙,2014,2,1,星期六,26℃,15℃,晴,南风,微风
湖南,长沙,2014,2,2,星期日,26℃,14℃,多云,南风,微风
湖南,长沙,2014,2,3,星期一,21℃,7℃,晴,北风,微风
湖南,长沙,2014,2,4,星期二,8℃,4℃,小雨,北风,3-4级
湖南,长沙,2014,2,5,星期三,6℃,2℃,小雨,北风,微风
湖南,长沙,2014,2,6,星期四,2℃,0℃,小雨,北风,微风
湖南,长沙,2014,2,7,星期五,3℃,0℃,雨夹雪,北风,微风
湖南,长沙,2014,2,8,星期六,3℃,-1℃,雨夹雪,北风,微风
湖南,长沙,2014,2,9,星期日,1℃,-2℃,中雪,北风,微风
湖南,长沙,2014,2,10,星期一,1℃,-2℃,小雪,北风,微风
湖南,长沙,2014,2,11,星期二,1℃,-3℃,多云,北风,微风
湖南,长沙,2014,2,12,星期三,1℃,-3℃,小雪,北风,微风
湖南,长沙,2014,2,13,星期四,3℃,-2℃,阴,北风,微风
湖南,长沙,2014,2,14,星期五,6℃,3℃,多云,无持续风向,微风
湖南,长沙,2014,2,15,星期六,7℃,3℃,阴,北风,微风
湖南,长沙,2014,2,16,星期日,6℃,4℃,小雨,北风,微风
湖南,长沙,2014,2,17,星期一,5℃,0℃,小雨,无持续风向,微风
湖南,长沙,2014,2,18,星期二,2℃,-3℃,中到大雪,北风,3-4级
湖南,长沙,2014,2,19,星期三,8℃,-1℃,多云,北风,微风
湖南,长沙,2014,2,20,星期四,13℃,1℃,晴,南风,微风
湖南,长沙,2014,2,21,星期五,15℃,8℃,多云,南风,微风
湖南,长沙,2014,2,22,星期六,15℃,8℃,多云,南风,微风
湖南,长沙,2014,2,23,星期日,14℃,10℃,阴,北风,微风
湖南,长沙,2014,2,24,星期一,11℃,9℃,中雨,北风,微风
湖南,长沙,2014,2,25,星期二,10℃,8℃,中雨,北风,微风
湖南,长沙,2014,2,26,星期三,15℃,8℃,多云,北风,微风
湖南,长沙,2014,2,27,星期四,13℃,9℃,小雨,北风,微风
湖南,长沙,2014,2,28,星期五,11℃,6℃,中雨,北风,微风
湖北,武汉,2014,2,1,星期六,23℃,10℃,多云,无持续风向,微风
湖北,武汉,2014,2,2,星期日,19℃,8℃,多云,无持续风向,微风
湖北,武汉,2014,2,3,星期一,10℃,3℃,阴,北风,4-5级
湖北,武汉,2014,2,4,星期二,5℃,2℃,阴,无持续风向,微风
湖北,武汉,2014,2,5,星期三,3℃,0℃,小雨,无持续风向,微风
湖北,武汉,2014,2,6,星期四,2℃,-1℃,中雨,无持续风向,微风
湖北,武汉,2014,2,7,星期五,2℃,-2℃,小雪,无持续风向,微风
湖北,武汉,2014,2,8,星期六,4℃,-2℃,雨夹雪,无持续风向,微风
湖北,武汉,2014,2,9,星期日,1℃,-4℃,小雪,北风,3-4级
湖北,武汉,2014,2,10,星期一,2℃,-6℃,阴,无持续风向,微风
湖北,武汉,2014,2,11,星期二,4℃,-4℃,多云,无持续风向,微风
湖北,武汉,2014,2,12,星期三,4℃,-3℃,阴,无持续风向,微风
湖北,武汉,2014,2,13,星期四,4℃,-3℃,阵雪,无持续风向,微风
湖北,武汉,2014,2,14,星期五,7℃,-2℃,多云,无持续风向,微风
湖北,武汉,2014,2,15,星期六,8℃,2℃,多云,无持续风向,微风
湖北,武汉,2014,2,16,星期日,6℃,1℃,阴,无持续风向,微风
湖北,武汉,2014,2,17,星期一,4℃,0℃,小雨,无持续风向,微风
湖北,武汉,2014,2,18,星期二,2℃,-4℃,大雪,无持续风向,微风
湖北,武汉,2014,2,19,星期三,9℃,-1℃,晴,无持续风向,微风
湖北,武汉,2014,2,20,星期四,12℃,0℃,晴,无持续风向,微风
湖北,武汉,2014,2,21,星期五,13℃,6℃,多云,无持续风向,微风
湖北,武汉,2014,2,22,星期六,15℃,7℃,多云,无持续风向,微风
湖北,武汉,2014,2,23,星期日,16℃,8℃,阴,无持续风向,微风
湖北,武汉,2014,2,24,星期一,11℃,7℃,中雨,无持续风向,微风
湖北,武汉,2014,2,25,星期二,11℃,6℃,阴,无持续风向,微风
湖北,武汉,2014,2,26,星期三,13℃,9℃,多云,无持续风向,微风
湖北,武汉,2014,2,27,星期四,12℃,9℃,小雨,无持续风向,微风
湖北,武汉,2014,2,28,星期五,9℃,5℃,小雨,无持续风向,微风
吉林,长春,2014,2,1,星期六,2℃,-14℃,多云,东南风,微风
吉林,长春,2014,2,2,星期日,-5℃,-22℃,多云,西风,4-5级
吉林,长春,2014,2,3,星期一,-16℃,-23℃,晴,西风,3-4级
吉林,长春,2014,2,4,星期二,-13℃,-23℃,晴,西南风,微风
吉林,长春,2014,2,5,星期三,-10℃,-19℃,晴,西南风,微风
吉林,长春,2014,2,6,星期四,-9℃,-18℃,晴,西北风,微风
吉林,长春,2014,2,7,星期五,-8℃,-18℃,多云,东南风,微风
吉林,长春,2014,2,8,星期六,-11℃,-21℃,多云,北风,3-4级
吉林,长春,2014,2,9,星期日,-12℃,-23℃,晴,北风,微风
吉林,长春,2014,2,10,星期一,-10℃,-19℃,晴,东南风,微风
吉林,长春,2014,2,11,星期二,-8℃,-17℃,晴,东南风,微风
吉林,长春,2014,2,12,星期三,-9℃,-20℃,晴,东南风,微风
吉林,长春,2014,2,13,星期四,-6℃,-16℃,晴,东南风,微风
吉林,长春,2014,2,14,星期五,-2℃,-10℃,阵雪,西南风,微风
吉林,长春,2014,2,15,星期六,-4℃,-15℃,晴,东北风,微风
吉林,长春,2014,2,16,星期日,-5℃,-17℃,晴,东北风,微风
吉林,长春,2014,2,17,星期一,-7℃,-18℃,晴,东北风,微风
吉林,长春,2014,2,18,星期二,-6℃,-15℃,晴,东北风,微风
吉林,长春,2014,2,19,星期三,-5℃,-15℃,晴,东北风,微风
吉林,长春,2014,2,20,星期四,-4℃,-12℃,晴,东风,微风
吉林,长春,2014,2,21,星期五,-1℃,-10℃,晴,东风,微风
吉林,长春,2014,2,22,星期六,1℃,-9℃,晴,东风,微风
吉林,长春,2014,2,23,星期日,2℃,-10℃,晴,东风,微风
吉林,长春,2014,2,24,星期一,4℃,-4℃,多云,南风,3-4级
吉林,长春,2014,2,25,星期二,9℃,1℃,多云,南风,3-4级
吉林,长春,2014,2,26,星期三,12℃,-7℃,多云,南风,4-5级
吉林,长春,2014,2,27,星期四,-1℃,-10℃,晴,西北风,3-4级
吉林,长春,2014,2,28,星期五,0℃,-10℃,晴,西风,微风
江西,南昌,2014,2,1,星期六,25℃,13℃,晴,无持续风向,微风
江西,南昌,2014,2,2,星期日,26℃,13℃,晴,无持续风向,微风
江西,南昌,2014,2,3,星期一,20℃,7℃,多云,北风,3-4级
江西,南昌,2014,2,4,星期二,7℃,6℃,小雨,北风,3-4级
江西,南昌,2014,2,5,星期三,8℃,5℃,小雨,北风,3-4级
江西,南昌,2014,2,6,星期四,7℃,3℃,阵雨,北风,3-4级
江西,南昌,2014,2,7,星期五,5℃,2℃,中雨,北风,3-4级
江西,南昌,2014,2,8,星期六,6℃,0℃,阴,北风,3-4级
江西,南昌,2014,2,9,星期日,1℃,-2℃,大雪,北风,3-4级
江西,南昌,2014,2,10,星期一,1℃,-3℃,晴,北风,3-4级
江西,南昌,2014,2,11,星期二,4℃,-1℃,晴,无持续风向,微风
江西,南昌,2014,2,12,星期三,3℃,0℃,小雪,北风,3-4级
江西,南昌,2014,2,13,星期四,4℃,1℃,阵雪,无持续风向,微风
江西,南昌,2014,2,14,星期五,8℃,3℃,多云,无持续风向,微风
江西,南昌,2014,2,15,星期六,11℃,6℃,阴,无持续风向,微风
江西,南昌,2014,2,16,星期日,7℃,5℃,小雨,无持续风向,微风
江西,南昌,2014,2,17,星期一,7℃,1℃,小雨,无持续风向,微风
江西,南昌,2014,2,18,星期二,4℃,0℃,雨夹雪,北风,3-4级
江西,南昌,2014,2,19,星期三,8℃,0℃,多云,无持续风向,微风
江西,南昌,2014,2,20,星期四,12℃,2℃,晴,无持续风向,微风
江西,南昌,2014,2,21,星期五,13℃,6℃,晴,无持续风向,微风
江西,南昌,2014,2,22,星期六,17℃,9℃,多云,无持续风向,微风
江西,南昌,2014,2,23,星期日,18℃,11℃,阴,无持续风向,微风
江西,南昌,2014,2,24,星期一,11℃,9℃,小雨,无持续风向,微风
江西,南昌,2014,2,25,星期二,12℃,9℃,中雨,无持续风向,微风
江西,南昌,2014,2,26,星期三,16℃,8℃,多云,无持续风向,微风
江西,南昌,2014,2,27,星期四,17℃,11℃,阴,无持续风向,微风
江西,南昌,2014,2,28,星期五,14℃,7℃,中雨,无持续风向,微风
河南,郑州,2014,2,1,星期六,8℃,2℃,霾,无持续风向,微风
河南,郑州,2014,2,2,星期日,12℃,-1℃,雾,无持续风向,微风
河南,郑州,2014,2,3,星期一,6℃,-4℃,晴,无持续风向,微风
河南,郑州,2014,2,4,星期二,3℃,-1℃,小雪,无持续风向,微风
河南,郑州,2014,2,5,星期三,0℃,-3℃,中雪,无持续风向,微风
河南,郑州,2014,2,6,星期四,-1℃,-3℃,小雪,无持续风向,微风
河南,郑州,2014,2,7,星期五,2℃,-4℃,阴,无持续风向,微风
河南,郑州,2014,2,8,星期六,2℃,-3℃,阴,无持续风向,微风
河南,郑州,2014,2,9,星期日,1℃,-5℃,阴,东北风,3-4级
河南,郑州,2014,2,10,星期一,0℃,-7℃,多云,无持续风向,微风
河南,郑州,2014,2,11,星期二,0℃,-5℃,晴,无持续风向,微风
河南,郑州,2014,2,12,星期三,1℃,-4℃,多云,无持续风向,微风
河南,郑州,2014,2,13,星期四,2℃,-7℃,多云,无持续风向,微风
河南,郑州,2014,2,14,星期五,6℃,-4℃,晴,无持续风向,微风
河南,郑州,2014,2,15,星期六,5℃,-1℃,阴,无持续风向,微风
河南,郑州,2014,2,16,星期日,4℃,0℃,雨夹雪,无持续风向,微风
河南,郑州,2014,2,17,星期一,2℃,-1℃,小雪,东北风,3-4级
河南,郑州,2014,2,18,星期二,5℃,-2℃,多云,无持续风向,微风
河南,郑州,2014,2,19,星期三,11℃,0℃,晴,无持续风向,微风
河南,郑州,2014,2,20,星期四,11℃,1℃,晴,无持续风向,微风
河南,郑州,2014,2,21,星期五,11℃,2℃,多云,无持续风向,微风
河南,郑州,2014,2,22,星期六,11℃,4℃,多云,无持续风向,微风
河南,郑州,2014,2,23,星期日,10℃,4℃,阴,无持续风向,微风
河南,郑州,2014,2,24,星期一,10℃,5℃,阴,无持续风向,微风
河南,郑州,2014,2,25,星期二,11℃,5℃,阴,无持续风向,微风
河南,郑州,2014,2,26,星期三,14℃,6℃,多云,无持续风向,微风
河南,郑州,2014,2,27,星期四,10℃,2℃,阴,东北风,3-4级
河南,郑州,2014,2,28,星期五,6℃,2℃,小雨,无持续风向,微风
海南,海口,2014,2,1,星期六,25℃,15℃,多云,无持续风向,微风
海南,海口,2014,2,2,星期日,26℃,16℃,多云,无持续风向,微风
海南,海口,2014,2,3,星期一,26℃,17℃,多云,无持续风向,微风
海南,海口,2014,2,4,星期二,26℃,18℃,多云,无持续风向,微风
